id,timeset,source,target,weight                                           
1,2018-09-26T09:01:45+03:00,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,0xa54b77e28e8954c8c89d234c262a71125cb98da8,100
2,2018-09-26T09:40:15+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
3,2018-09-26T09:45:20+03:00,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,0x23c848671adf998025cd1d2247fea93f922b6d31,20
4,2018-09-26T22:55:35+03:00,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,0xb7b1a85fed492df4a67f34a723408fc5f694f96b,20
5,2018-09-26T23:30:55+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
6,2018-09-27T21:58:20+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
7,2018-09-27T22:54:00+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
8,2018-09-28T10:24:55+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
9,2018-10-02T16:56:05+03:00,0x23c848671adf998025cd1d2247fea93f922b6d31,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,3
10,2018-10-13T14:04:10+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
11,2018-10-13T16:25:05+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
12,2018-10-13T16:33:25+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
13,2018-10-13T16:36:45+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
14,2018-10-16T22:13:40+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
15,2018-10-17T22:21:45+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
16,2018-10-17T22:35:25+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2
17,2018-10-20T15:34:10+03:00,0xbe9e9a4b6bddec171bced854615b861479933e44,0x3cc06c32c88aba379c4bbd4c9ebda585d7574bbf,2